sku,qty
TKTeppstar350x250,0
TKTeppstar400x300,1
TKTeppstar200x80,4
TKTeppstar300x80,8
TKTeppstar350x80,0
TKTeppstar250x250Q,2
SVTeppstar,0
SVTeppstar60x40,0
SVTeppstar90x60,10
SVTeppstar140x70,1
SVTeppstar200x140,1
SVTeppstar240x170,2
SVTeppstar300x200,0
SVTeppstar350x250,1
SVTeppstar200x80,1
SVTeppstar300x80,2
GREYTeppstar,0
GREYTeppstar60x40,17
GREYTeppstar90x60,7
GREYTeppstar140x70,7
GREYTeppstar200x140,3
GREYTeppstar240x170,1
GREYTeppstar250x200,2
GREYTeppstar300x200,4
GREYTeppstar300x250,1
GREYTeppstar350x250,0
GREYTeppstar200x80,0
GREYTeppstar300x80,0
GREYTeppstar400x80,2
GREYTeppstar250x250Q,2
NATeppstar,0
NATeppstar60x40,3
NATeppstar90x60,0
NATeppstar140x70,3
NATeppstar160x90,5
NATeppstar200x140,8
NATeppstar240x170,2
NATeppstar300x200,3
NATeppstar350x250,1
NATeppstar200x80,3
NATeppstar300x80,1
NATeppstar250x250Q,4
BGTeppstar,0
BGTeppstar60x40,8
BGTeppstar90x60,9
BGTeppstar140x70,3
BGTeppstar160x90,3
BGTeppstar200x140,0
BGTeppstar240x170,0
BGTeppstar300x200,0
BGTeppstar350x250,0
BGTeppstar400x300,2
BGTeppstar200x80,3
BGTeppstar300x80,3
BGTeppstar400x80,2
SDGREYTeppstar,0
SDGREYTeppstar60x40,4
SDGREYTeppstar90x60,0
SDGREYTeppstar140x70,5
SDGREYTeppstar160x90,8
SDGREYTeppstar200x140,4
SDGREYTeppstar240x170,5
SDGREYTeppstar250x200,2
SDGREYTeppstar300x200,4
SDGREYTeppstar350x250,0
SDGREYTeppstar200x80,5
SDGREYTeppstar300x80,10
SDGREYTeppstar250x250Q,3
BRTeppstar,0
BRTeppstar60x40,0
BRTeppstar90x60,0
BRTeppstar140x70,2
BRTeppstar160x90,3
BRTeppstar200x140,0
BRTeppstar240x170,0
BRTeppstar300x200,1
BRTeppstar300x250,1
BRTeppstar350x250,0
BRTeppstar400x300,1
BRTeppstar200x80,0
BRTeppstar300x80,0
BRTeppstar250x250R,0
BRTeppstar250x250Q,3
PURTeppstar,0
PURTeppstar60x40,9
PURTeppstar90x60,3
PURTeppstar140x70,6
PURTeppstar160x90,6
PURTeppstar200x140,7
PURTeppstar240x170,2
PURTeppstar250x200,2
PURTeppstar300x200,7
PURTeppstar350x250,0
PURTeppstar400x300,1
PURTeppstar200x80,8
PURTeppstar300x80,8
PURTeppstar250x250Q,2
CHOLTeppstar,0
CHOLTeppstar60x40,0
CHOLTeppstar90x60,0
CHOLTeppstar140x70,0
CHOLTeppstar160x90,2
CHOLTeppstar200x140,2
CHOLTeppstar240x170,1
CHOLTeppstar250x200,2
CHOLTeppstar300x200,3
CHOLTeppstar350x250,0
CHOLTeppstar200x80,0
CHOLTeppstar300x80,3
CHODTeppstar,0
CHODTeppstar60x40,0
CHODTeppstar90x60,6
CHODTeppstar140x70,3
CHODTeppstar160x90,5
CHODTeppstar200x140,0
CHODTeppstar240x170,0
CHODTeppstar300x200,2
CHODTeppstar350x250,0
CHODTeppstar200x80,0
CHODTeppstar300x80,4
RDCroco,0
RDCroco90x60,2
RDCroco120x80,2
RDCroco150x100,2
RDCroco200x140,2
RDCroco240x170,1
RDCroco250x200,1
RDCroco300x200,2
RDCroco300x250,1
RDCroco350x250,1
RDCroco400x300,1
RDCroco300x80,1
BGCroco,0
BGCroco90x60,1
BGCroco120x80,1
BGCroco150x100,3
BGCroco200x140,2
